name,tm,nat,age,pos,cm,kg,app,min,G,A,yel,red,spG,pa%,aerWon,moM,tac,int,fouls,offW,clear,drbP,blcks,ownG,KP,drb,fouled,cOff,disp,unsT,avgP,crosses,longB,thrB
Denis Odoi,Fulham,be,31,D(CLR),177,72,29(2),2594,-,1,4,-,0.3,82.1,1.8,-,1.5,1.3,1.2,0.3,4.6,0.4,0.8,1,0.4,0.5,1,-,0.4,0.6,43,0.1,2.2,-
Håvard Nordtveit,Fulham,no,29,"D(CR),DMC",188,85,4(1),361,-,1,-,-,-,83.1,0.8,-,1.8,1.6,1,0.4,2.8,0.2,0.6,-,0.6,0.2,0.4,-,-,0.4,45,-,4.2,-
Tom Cairney,Fulham,sct,28,M(CR),185,83,24(7),2200,1,1,-,-,0.8,90.2,0.3,-,1.2,0.3,0.3,-,0.4,0.1,0.2,-,1.3,1.4,1.3,-,1.6,1.1,44.3,0.2,1.9,0.1
Ibrahima Cissé,Fulham,gn,25,DMC,184,82,1(2),87,-,-,-,-,-,85.3,0.3,-,-,1,0.3,-,1.3,0.3,-,-,-,0.3,-,-,-,0.3,11.3,-,-,-
Harvey Elliott,Fulham,eng,16,Midfielder,0,0,0(2),18,-,-,-,-,0.5,90.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,5.5,-,-,-
Tim Ream,Fulham,us,31,"D(CL),DMC",186,79,25(1),2051,-,-,1,-,-,87.9,1.8,-,0.9,1,0.5,0.6,3,0.5,0.4,-,0.1,0.2,0.3,-,0.2,0.2,40.5,-,1.4,-
Adama Diakhaby,Huddersfield,fr,23,"AM(LR),FW",188,74,6(6),553,-,-,1,-,0.6,76.2,0.5,-,0.5,0.1,0.6,-,0.1,0.7,-,-,0.4,1,0.8,0.2,1.8,1.4,12.3,0.2,0.1,-
Isaac Mbenza,Huddersfield,be,23,"AM(LR),FW",187,77,10(12),984,1,1,1,-,0.7,75.4,0.1,-,0.5,0.2,0.4,-,0.2,0.1,-,-,0.3,0.2,0.2,0.2,0.5,0.8,10.5,0.3,0.4,-
Chris Löwe,Huddersfield,de,30,"D(L),M(L)",175,68,23(6),2057,-,2,2,-,0.6,75.1,0.9,-,1.2,0.8,0.5,0.1,1.8,0.7,0.1,-,0.7,0.3,0.4,0.1,0.4,0.6,29,1.1,2.1,-
Terence Kongolo,Huddersfield,nl,25,D(CL),188,70,32,2722,1,1,4,-,0.4,78,1.7,-,2.3,2,0.6,0.4,3,0.6,0.5,1,0.3,0.3,0.8,0.1,0.1,0.5,35.9,0.1,2.2,-
Florent Hadergjonaj,Huddersfield,ch,24,"D(R),M(R)",182,73,19(5),1841,-,-,1,-,0.3,75.2,1,-,1.3,0.9,0.5,0.3,1.1,1,0.3,-,1,0.4,0.8,0.1,0.1,0.9,30.2,0.9,1.4,-
Matty Daly,Huddersfield,,18,Midfielder,0,0,0(2),73,-,-,-,-,-,58.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.5,6,-,-,-
Jonathan Hogg,Huddersfield,eng,30,DMC,170,67,29,2377,-,1,8,1,0.3,83.2,1.1,-,2.7,2.5,2,-,0.6,1.4,0.2,-,0.6,0.3,1.2,-,0.7,1.1,53.3,0.1,2.4,-
Elias Kachunga,Huddersfield,cd,27,"AM(CLR),FW",178,74,13(7),1182,-,-,2,-,0.7,71.3,1.2,-,1.1,0.2,1.2,-,0.5,0.8,0.1,-,0.3,0.5,1.1,0.5,1,1.1,14.8,0.3,0.2,-
Erik Durm,Huddersfield,de,27,"D(LR),M(LR)",183,72,21(7),2054,-,1,-,-,0.4,69,0.8,-,1.3,1.5,0.5,0.3,1.3,0.7,0.2,-,0.4,0.4,0.8,-,0.5,1.2,27.7,0.4,1.3,-
Karlan Grant,Huddersfield,eng,21,FW,180,70,9(4),874,4,-,-,-,1.6,69.8,0.8,1,0.4,0.2,0.6,-,0.1,0.2,-,-,0.6,0.9,0.6,0.3,1.8,2.2,16.3,-,0.3,-
Jason Puncheon,Huddersfield,eng,33,M(CLR),173,70,5(1),383,-,-,1,-,1,79.5,1,-,1.2,0.7,1.5,-,1.3,1,0.2,-,0.8,0.8,0.3,0.2,2,2,33.3,0.3,2,0.2
Juninho Bacuna,Huddersfield,nl,21,M(C),178,74,16(5),1416,1,-,4,-,0.9,75.4,0.8,-,2.2,1.1,1.6,0.1,0.5,1.5,-,-,0.9,1.2,1,-,0.8,1.9,34,0.4,2.8,-
Alex Pritchard,Huddersfield,eng,26,AM(CLR),171,62,26(4),2092,2,-,2,-,1.6,74.9,0.5,-,1.2,0.6,0.4,-,0.2,0.8,0.1,-,1.1,1,1.7,0.2,1.7,2.3,29.9,0.6,1,-
Aaron Mooy,Huddersfield,au,28,M(C),174,68,25(4),2327,3,1,4,-,1.5,80.2,0.5,1,2.1,0.5,0.9,-,0.7,1.1,0.2,-,1.5,0.8,0.4,-,1.6,1.2,44.1,1.4,2.1,-
Abdelhamid Sabiri,Huddersfield,ma,22,AM(L),183,80,1(1),50,-,-,-,-,-,87.5,-,-,1,0.5,-,-,-,-,-,-,-,-,0.5,-,-,0.5,4,-,-,-
Rajiv van La Parra,Huddersfield,nl,28,"AM(LR),FW",181,72,5,407,-,-,-,-,1,85.7,0.2,-,1.6,0.8,0.8,-,0.2,1,-,-,0.8,1.4,2.8,-,4.2,2.2,21,-,1.2,0.2
Steve Mounie,Huddersfield,bj,24,FW,190,83,19(12),1778,2,3,1,1,2,64.5,6.8,2,0.3,0.2,1,-,0.5,0.3,-,-,0.6,0.4,0.5,0.5,1.2,2,18,-,0.1,-
Ben Hamer,Huddersfield,eng,31,GK,192,91,7,553,-,-,-,-,-,44.5,0.4,-,-,0.1,-,-,0.6,0.4,-,-,-,-,-,-,-,0.1,27.3,-,8.7,-
Joel Coleman,Huddersfield,eng,23,GK,198,82,1,90,-,-,-,-,-,37.8,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,37,-,7,-
Danny Williams,Huddersfield,us,30,M(C),182,79,1(4),95,-,-,1,-,0.2,79.2,-,-,-,0.2,0.4,-,0.4,-,0.2,-,0.2,0.2,0.2,-,0.8,0.2,4.8,-,-,-
Ramadan Sobhi,Huddersfield,eg,22,AM(CL),183,75,0(4),76,-,-,-,-,-,86,0.8,-,0.3,0.3,-,-,-,-,-,-,0.8,0.5,0.3,-,1.3,1,10.8,0.3,-,-
Demeaco Duhaney,Huddersfield,eng,20,Defender,180,70,1,46,-,-,-,-,-,78.9,-,-,1,1,-,-,1,2,-,-,-,-,2,-,-,2,19,-,1,-
Collin Quaner,Huddersfield,de,28,"AM(R),FW",191,81,0(2),37,-,-,-,-,-,76.5,-,-,-,-,1,-,-,0.5,-,-,0.5,0.5,-,0.5,1,1,8.5,-,-,-
Zanka,Huddersfield,dk,29,D(C),191,79,24,2148,3,1,6,-,0.3,82.1,1.5,1,2,2.9,1.4,0.5,3.4,0.8,0.6,-,0.3,0.1,0.6,-,0.3,0.3,48.9,-,2.9,-
Laurent Depoitre,Huddersfield,be,30,FW,191,91,10(13),1062,-,1,1,-,1.3,59.9,3.5,-,0.3,0.1,0.8,-,0.3,0.1,-,-,0.4,0.2,0.4,0.3,1.3,1.8,11.9,-,0.1,-
Jonas Lössl,Huddersfield,dk,30,GK,195,89,30(1),2777,-,1,1,-,-,61.2,0.5,1,-,0.1,-,-,1,-,-,-,0.1,-,0.1,-,-,-,32.5,-,10.5,-
Aaron Rowe,Huddersfield,eng,18,Midfielder,0,0,1(1),69,-,-,-,-,-,65,-,-,0.5,0.5,1,-,0.5,-,-,-,-,0.5,-,-,2,0.5,10,-,-,-
Philip Billing,Huddersfield,dk,23,DMC,193,83,25(2),2192,2,-,7,-,1.6,78.6,3.3,3,2.7,2,1.4,0.2,1.5,0.9,0.6,-,0.8,0.7,1.1,0.1,1,2,39.8,0.3,2.9,-
Christopher Schindler,Huddersfield,de,29,D(C),189,82,37,3262,1,-,4,1,0.4,82.8,3.7,1,1.6,1.9,0.7,0.6,3.6,0.5,0.9,-,0.1,-,0.5,-,0.1,0.2,41.9,-,4,-
Jon Gorenc Stankovic,Huddersfield,si,23,"D(C),DMC",190,78,9(2),720,1,-,2,-,0.8,75.5,2,-,2.4,0.8,0.8,0.1,1.7,1.1,0.8,-,0.2,0.1,1.1,-,0.1,0.6,26.7,-,1.5,-
Tommy Smith,Huddersfield,eng,27,D(CR),186,75,13(2),1142,-,-,2,1,0.2,74.8,0.9,-,1.7,1.2,0.7,0.1,1.7,1,0.3,-,0.5,0.2,0.4,-,0.2,0.3,32.5,0.3,2.1,-
